,acousticness,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,decade,letter_keys,modes,key_mode,scaled_speech,scaled_duration,scaled_loudness,scaled_tempo,scaled_pop,A Major,A Minor,Ab Major,Ab Minor,B Major,B Minor,Bb Major,Bb Minor,C Major,C Minor,D Major,D Minor,Db Major,Db Minor,E Major,E Minor,Eb Major,Eb Minor,F Major,F Minor,F# Major,F# Minor,G Major,G Minor,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,2010s,2020s,artist,label
0,0.968,0.589,281078,0.38299999999999995,0,5DtPYDt4rEBfcH2KD2rmlA,0.042,8,0.165,-10.225,1,Matchbox Blues (141-B),0,1935-01-01,0.2439949970121604,82.538,0.7190000000000001,1935,1930s,Ab,Major,Ab Major,1.0,0.05112077818728244,0.7795004306632214,0.3381443805793741,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
1,0.981,0.602,182282,0.488,0,5EVQBCdoCVmpQV4lfRLsQg,0.0030800000000000003,8,0.16699999999999998,-10.390999999999998,1,Death Letter Blues - Part 2 (Take 1),0,1935-01-01,0.0472,151.15200000000004,0.621,1935,1930s,Ab,Major,Ab Major,0.1934465893890751,0.03281977299907084,0.7769007908542793,0.6192444621063458,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
2,0.965,0.5539999999999999,86753,0.446,0,571B5Z1tC8u6GhVBdhEr9D,0.688,7,0.14300000000000002,-13.002,1,Blind Lemon (Memorial Record),0,1947-01-01,0.044000000000000004,96.64399999999999,0.973,1947,1940s,G,Major,G Major,0.1803315663796463,0.01512394802007709,0.7360112755461593,0.3959343031902037,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
3,0.802,0.409,193123,0.672,0,1i8C8u3CVtM4NmaPGNXBNk,0.494,9,0.313,-8.601,1,John Henry,0,1949-01-01,0.0409,145.218,0.731,1949,1940s,A,Major,A Major,0.16762638783926212,0.03482796358619381,0.8049330514446794,0.5949338566354352,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
4,0.838,0.599,65698,0.321,0,1lgnLRxxnFqaXxMlZNyWKj,0.0,2,0.156,-9.407,0,Come And Sit Down Beside Me,0,1949-01-01,0.0354,87.006,0.919,1949,1940s,D,Minor,D Minor,0.14508494204180633,0.011223712542549707,0.792310703938611,0.3564490292554826,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
5,0.945,0.7020000000000001,202707,0.32,0,1nPu67v2i3iWqdiZYY48Uf,0.00118,5,0.68,-9.817,1,Whoa Buck,0,1949-01-01,0.2439949970121604,75.967,0.465,1949,1940s,F,Major,F Major,1.0,0.03660330705884271,0.7858899068201394,0.3112240926539692,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
6,0.8190000000000001,0.619,93440,0.361,0,1p5pItOY6VtXp43IJVVpl1,3.25e-06,10,0.198,-11.427999999999999,0,Skip To My Lou,0,1949-01-01,0.0406,111.662,0.8740000000000001,1949,1940s,Bb,Minor,Bb Minor,0.16639685443212815,0.016362650211396282,0.7606608722887793,0.4574605372586454,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
7,0.987,0.521,274782,0.27899999999999997,0,5KvBzCNTj591pbWa1BPXIw,0.00404,9,0.122,-13.74,1,Frankie And Albert (148-B),0,1935-01-01,0.0659,117.919,0.93,1935,1930s,A,Major,A Major,0.2700875051004248,0.04995450497110992,0.7244538407329105,0.48309441970412675,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
8,0.85,0.517,244793,0.299,0,5PmBMfPgqTIwK3zvx5IThS,6.86e-06,4,0.691,-13.097999999999999,1,Dick Licker's Holler (147-A),1,1935-01-01,0.2439949970121604,78.73899999999998,0.19699999999999998,1935,1930s,E,Major,E Major,1.0,0.044399332245602025,0.7345078693915904,0.3225805130053955,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
9,0.9640000000000001,0.452,244976,0.38799999999999996,0,5TG8Dh1LpTZSlawluIWjdA,6.02e-05,9,0.37799999999999995,-12.058,1,Dear Old Daddy (Interpreting Jimmy Rogers) (in 4 Parts) (145-B-1/-2/-3/-4),0,1935-01-01,0.2439949970121604,79.586,0.5379999999999999,1935,1930s,A,Major,A Major,1.0,0.044433231228854814,0.7507947693994206,0.32605053033499803,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
