,acousticness,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,decade,letter_keys,modes,key_mode,scaled_speech,scaled_duration,scaled_loudness,scaled_tempo,scaled_pop,A Minor,Ab Major,Ab Minor,B Major,B Minor,Bb Major,Bb Minor,C Major,C Minor,D Major,D Minor,Db Major,Db Minor,E Major,E Minor,Eb Major,Eb Minor,F Major,F Minor,F# Major,F# Minor,G Major,G Minor,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,2010s,2020s,artist,label
0,0.943,0.605,188093,0.018000000000000002,0,2LhGDIwDaIw6auSyLtlWuY,0.243,6,0.0938,-22.201999999999998,1,Come On And See About Me,17,1960-01-01,0.0792,119.454,0.142,1960,1960s,F#,Major,F# Major,0.32459681948336333,0.033896204647606176,0.5919348523999688,0.4893830579578928,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
1,0.75,0.659,222093,0.23600000000000002,0,1UdNQ15Q54vCtmo02TLWfq,2.24e-05,0,0.07,-15.96,1,The Journey,13,1961-01-01,0.0424,99.012,0.853,1961,1960s,C,Major,C Major,0.17377405487493186,0.04019437639949081,0.6896875734085036,0.40563560311523167,0.13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
2,0.638,0.456,150269,0.29600000000000004,0,6EdBagK4kqITdw34mBzTof,0.0343,10,0.10800000000000001,-12.578,1,A New Leaf,18,1962-01-01,0.0387,174.549,0.4270000000000001,1962,1960s,Bb,Major,Bb Major,0.15860980952027978,0.026889673813980164,0.7426513193955054,0.7150980576915987,0.18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
3,0.589,0.45899999999999996,164075,0.16699999999999998,0,030z99G9TFWAE5Wq0Q6tcg,0.00187,5,0.10400000000000001,-14.102,1,I Got A Letter (This Morning),18,1962-01-01,0.0401,181.953,0.196,1962,1960s,F,Major,F Major,0.1643476320869049,0.029447102025936613,0.7187847466917234,0.7454310072882655,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
4,0.527,0.682,167336,0.424,0,6S75o3nKlPCfpdAFx0Rseo,0.0,5,0.129,-13.623,1,Drug Store Woman,18,1962-01-01,0.0464,70.46600000000002,0.688,1962,1960s,F,Major,F Major,0.19016783363671788,0.030051170793080607,0.7262861169837915,0.2886874157588769,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
5,0.321,0.5820000000000001,211043,0.654,0,29KYUQG2SAAs1QI7zrluNw,0.18,10,0.19899999999999998,-10.146,1,Thelma,18,1962-01-01,0.0314,107.601,0.898,1962,1960s,Bb,Major,Bb Major,0.12869116328002028,0.0381474705801283,0.7807376086445854,0.44082329950715105,0.18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
6,0.479,0.659,287253,0.521,0,3SQwVXJork7A75pRnQLgtf,0.18,0,0.0727,-11.242,0,Chill Out (Things Gonna Change),48,1995-01-01,0.0306,96.647,0.69,1995,1990s,C,Minor,C Minor,0.12541240752766308,0.05226463732163207,0.7635737217132565,0.39594659368841956,0.48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,John Lee Hooker,Fat Possum
7,0.602,0.711,134174,0.33399999999999996,0,2OigRCY3ff6sAmQRrJwMGC,0.00135,5,0.34600000000000003,-14.638,0,I Wanna Walk,14,1960-01-01,0.0499,107.863,0.772,1960,1960s,F,Minor,F Minor,0.20451239005328067,0.023908230450845364,0.7103907289953802,0.44189666968466684,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
8,0.23,0.5379999999999999,147147,0.705,0,3d4iDPWE0ED7wpW5KmS9dx,0.31,10,0.171,-10.884,1,Let's Make It,18,1962-01-01,0.040999999999999995,139.584,0.914,1962,1960s,Bb,Major,Bb Major,0.16803623230830675,0.02631135345488064,0.7691801738313366,0.5718523009861077,0.18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
9,0.0922,0.626,147702,0.509,0,4jGU1pRTJLr84Gc1FaELq6,0.0196,5,0.198,-12.787,1,What Do You Say,17,1962-01-01,0.0352,88.65299999999998,0.767,1962,1960s,F,Major,F Major,0.14426525310371704,0.026414161846712872,0.7393782789131627,0.3631965127759728,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,John Lee Hooker,Fat Possum
10,0.807,0.6779999999999999,203627,0.508,0,1R1NIZpyN47AJa3to8vu0x,0.26899999999999996,9,0.171,-16.373,1,Messin' With The Hook,33,1971-01-01,0.114,99.825,0.924,1971,1970s,A,Major,A Major,0.4672226947109018,0.03677372817683488,0.6832197948477018,0.4089663281317214,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,John Lee Hooker,Fat Possum
11,0.784,0.6,266533,0.409,0,2AxC0hBTjAslD0sZAywCzU,9.53e-05,5,0.125,-14.700999999999999,1,I Got My Eyes On You,34,1971-01-01,0.2439949970121604,148.49,0.677,1971,1970s,F,Major,F Major,1.0,0.048426457359895314,0.7094041187064443,0.6083386933561664,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,John Lee Hooker,Fat Possum
